token,raw,category,ambiguity_risk,matched_n_combo,matched_clk,matched_cost,matched_conv_cnt,matched_conv_amt,sources,notes
아이패드,아이패드,brand_root,low,68653,2878,2008523,16,260400,docs/references/data/63_band_decomposition/adgroup_model_map.csv ∪ backend/app/services/naver_ad/search_term_judge.py:parsed_model ∪ _SS_WHITELIST_TOKENS (series=ipad 행 110건(신뢰도 무관 — series 식별 자체는 확정)),series 접두사 — model 대조 없이도 series 판정은 유지 | device_launch_dates_kr.json:model 접두사 일치 11건 교차확인
s26,S26,model_code,"medium(알파벳1+숫자, 예: s8)",18745,1698,1943983,20,371500,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 18행, 예: grp-a001-01-000000061883745,grp-a001-01-000000061883746,grp-a001-01-000000061883792) || docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061581264,grp-a001-02-000000061793407)",series:code 파싱 결과 중 code 부분 | band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
s10,S10,model_code,"medium(알파벳1+숫자, 예: s8)",32742,2446,1899128,39,632100,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 16행, 예: grp-a001-01-000000045800955,grp-a001-01-000000045802263,grp-a001-01-000000046904555)",series:code 파싱 결과 중 code 부분
s23,S23,model_code,"medium(알파벳1+숫자, 예: s8)",14073,1840,1841673,48,749900,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 27행, 예: grp-a001-01-000000032245671,grp-a001-01-000000040080458,grp-a001-01-000000040189693) || docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061793320,grp-a001-02-000000061793496)",series:code 파싱 결과 중 code 부분 | band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
17,17,model_code,high(순수 숫자),28933,2018,1807928,27,462410,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=fuzzy, 41행, 예: grp-a001-01-000000037423351,grp-a001-01-000000054618773,grp-a001-01-000000054666555) || docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693688,grp-a001-02-000000061794180)",series:code 파싱 결과 중 code 부분 | band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
s26울트라,S26울트라,model_code,low,11563,1561,1691044,35,545010,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061581269,grp-a001-02-000000061793423)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
오하이,오하이,self_brand,low,12413,4054,1677835,144,2529930,"naver_search_term_daily(prod):search_term (adgroup_id=grp-a001-01-000000031116306(핸드폰필름,자사키워드) 최다클릭 검색어, clk=757 cost=83368 n=363행(2026-08-18 조회, 창 전체))",리터럴 검색어 텍스트에서 직접 관측 — 매핑표 없음
16프로,16프로,model_code,low,10560,1102,1325942,28,469200,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693695,grp-a001-02-000000061794176)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
s24울트라,S24울트라,model_code,low,8239,1258,1306531,43,662400,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061581250,grp-a001-02-000000061793364)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
15프로,15프로,model_code,low,8260,909,1141652,24,380010,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693716,grp-a001-02-000000061794165)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
15,15,model_code,high(순수 숫자),11715,918,1103201,9,171000,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=fuzzy, 36행, 예: grp-a001-01-000000037840548,grp-a001-01-000000037842041,grp-a001-01-000000040173278) || docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693722,grp-a001-02-000000061794162)",series:code 파싱 결과 중 code 부분 | band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
폴드6,폴드6,model_code,low,18950,1320,1085909,30,549400,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 3행, 예: grp-a001-01-000000037423354,grp-a001-01-000000060554863,grp-a001-02-000000059821962)",리터럴 adgroup_name/campaign_name에서 직접 추출
16,16,model_code,high(순수 숫자),14880,945,1026624,13,206700,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=fuzzy, 40행, 예: grp-a001-01-000000044807690,grp-a001-01-000000044807691,grp-a001-01-000000044808405) || docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693708,grp-a001-02-000000061794170)",series:code 파싱 결과 중 code 부분 | band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
17프로,17프로,model_code,low,17271,1203,1016041,22,355310,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693679,grp-a001-02-000000061794184)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
s11,S11,model_code,"medium(알파벳1+숫자, 예: s8)",19896,1192,984332,9,155100,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 9행, 예: grp-a001-01-000000055142639,grp-a001-01-000000055151707,grp-a001-01-000000060826108)",series:code 파싱 결과 중 code 부분
s24,S24,model_code,"medium(알파벳1+숫자, 예: s8)",13517,1065,919430,19,277100,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 39행, 예: grp-a001-01-000000040080459,grp-a001-01-000000040189692,grp-a001-01-000000040284140) || docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061581230,grp-a001-02-000000061793346)",series:code 파싱 결과 중 code 부분 | band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
폴드8와이드,폴드8와이드,model_code,low,4360,894,905930,88,1502740,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 1행, 예: grp-a001-02-000000070523564)",리터럴 adgroup_name/campaign_name에서 직접 추출
플립6,플립6,model_code,low,19916,1152,893159,15,234600,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 3행, 예: grp-a001-01-000000037423356,grp-a001-01-000000060531711,grp-a001-02-000000054536931)",리터럴 adgroup_name/campaign_name에서 직접 추출
s22,S22,model_code,"medium(알파벳1+숫자, 예: s8)",10303,1086,836418,22,359700,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 28행, 예: grp-a001-01-000000046645092,grp-a001-01-000000046954263,grp-a001-01-000000046980388) || docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061793266,grp-a001-02-000000061793470)",series:code 파싱 결과 중 code 부분 | band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
플립5,플립5,model_code,low,15461,1172,832146,10,119400,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 3행, 예: grp-a001-01-000000049863305,grp-a001-01-000000060531709,grp-a001-02-000000044490484)",리터럴 adgroup_name/campaign_name에서 직접 추출
노트20,노트20,model_code,low,5560,722,827750,52,843600,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 1행, 예: grp-a001-02-000000061793448)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
s9,S9,model_code,high(2자 이하),16018,1092,758574,29,483000,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 17행, 예: grp-a001-01-000000046578743,grp-a001-01-000000046588417,grp-a001-01-000000046904979)",series:code 파싱 결과 중 code 부분
s22울트라,S22울트라,model_code,low,6670,834,752358,25,373500,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061793303,grp-a001-02-000000061793489)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
노트,노트,brand_root,high(2자 이하),8175,622,697006,24,364600,docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (series=note 행 23건(신뢰도 무관 — series 식별 자체는 확정)),series 접두사 — model 대조 없이도 series 판정은 유지
폴드5,폴드5,model_code,low,7231,706,685856,27,485900,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 3행, 예: grp-a001-01-000000060554859,grp-a001-02-000000044490481,grp-a001-02-000000046222157)",리터럴 adgroup_name/campaign_name에서 직접 추출
폴드8울트라,폴드8울트라,model_code,low,7240,576,619808,40,667800,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 4행, 예: grp-a001-01-000000070513016,grp-a001-01-000000071340962,grp-a001-02-000000070451363)",리터럴 adgroup_name/campaign_name에서 직접 추출
13,13,model_code,high(순수 숫자),13340,638,523541,3,47700,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693771,grp-a001-02-000000061794129)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
s8,S8,model_code,high(2자 이하),6868,608,521879,39,639100,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 13행, 예: grp-a001-01-000000046579761,grp-a001-01-000000046837921,grp-a001-01-000000046939750)",series:code 파싱 결과 중 code 부분
10,10,model_code,high(순수 숫자),14663,672,508589,14,216600,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 7행, 예: grp-a001-01-000000046976468,grp-a001-01-000000046977473,grp-a001-01-000000060841400)",series:code 파싱 결과 중 code 부분
노트20울트라,노트20울트라,model_code,low,3889,446,499612,50,809700,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 1행, 예: grp-a001-02-000000061793457)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
플립8,플립8,model_code,low,4907,397,486917,31,462600,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 18행, 예: grp-a001-01-000000070094275,grp-a001-01-000000070102294,grp-a001-01-000000070109481)",리터럴 adgroup_name/campaign_name에서 직접 추출
14프로,14프로,model_code,low,4925,357,438864,10,177000,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693728,grp-a001-02-000000061794159)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
a16,A16,model_code,"medium(알파벳1+숫자, 예: s8)",4446,508,432116,21,318900,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=fuzzy, 7행, 예: grp-a001-01-000000046475854,grp-a001-01-000000046477597,grp-a001-01-000000046478478)",series:code 파싱 결과 중 code 부분
s24fe,S24 FE,model_code,low,2702,490,431066,19,283100,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 5행, 예: grp-a001-01-000000045920162,grp-a001-01-000000046979820,grp-a001-01-000000060481180)",series:code 파싱 결과 중 code 부분
16프로맥스,16프로맥스,model_code,low,3638,383,427560,9,143100,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693698,grp-a001-02-000000061794179)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
폴드4,폴드4,model_code,low,5617,402,380970,17,327400,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 2행, 예: grp-a001-01-000000060548974,grp-a001-02-000000054537767)",리터럴 adgroup_name/campaign_name에서 직접 추출
s23플러스,S23플러스,model_code,low,2507,340,368769,10,148000,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061793328,grp-a001-02-000000061793511)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
s25플러스,S25플러스,model_code,low,5233,383,336776,4,79500,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061581263,grp-a001-02-000000061793386)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
17프로맥스,17프로맥스,model_code,low,8037,402,332249,5,91500,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693682,grp-a001-02-000000061794187)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
플립4,플립4,model_code,low,7168,388,314538,18,324200,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 3행, 예: grp-a001-01-000000049864292,grp-a001-01-000000060531710,grp-a001-02-000000059821088)",리터럴 adgroup_name/campaign_name에서 직접 추출
플립3,플립3,model_code,low,6536,395,312913,4,63300,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 4행, 예: grp-a001-01-000000049865502,grp-a001-01-000000060531708,grp-a001-02-000000046222149)",리터럴 adgroup_name/campaign_name에서 직접 추출
a9,A9+,model_code,high(2자 이하),7390,481,296144,24,467100,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 5행, 예: grp-a001-01-000000046583926,grp-a001-01-000000046839132,grp-a001-01-000000060824936)",series:code 파싱 결과 중 code 부분
15프로맥스,15프로맥스,model_code,low,3973,262,289716,3,50700,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693720,grp-a001-02-000000061794167)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
s26플러스,S26플러스,model_code,low,3803,250,288523,10,163500,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061581308,grp-a001-02-000000061793411)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
14,14,model_code,high(순수 숫자),8802,244,227028,2,37800,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693737,grp-a001-02-000000061794152)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
s24플러스,S24플러스,model_code,low,3318,272,221210,6,92400,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061581254,grp-a001-02-000000061793358)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
13프로,13프로,model_code,low,2558,204,208327,1,18900,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693757,grp-a001-02-000000061794145)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
13미니,13미니,model_code,low,2188,192,207564,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693781,grp-a001-02-000000061794117)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
a34,A34,model_code,"medium(알파벳1+숫자, 예: s8)",2179,199,198877,18,286000,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 1행, 예: grp-a001-01-000000060613249)",series:code 파싱 결과 중 code 부분
12,12,model_code,high(순수 숫자),11529,257,183844,2,37800,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 1행, 예: grp-a001-02-000000061794093)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
폴드3,폴드3,model_code,low,3425,217,162642,1,16800,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 3행, 예: grp-a001-01-000000049866750,grp-a001-01-000000060548667,grp-a001-02-000000059821874)",리터럴 adgroup_name/campaign_name에서 직접 추출
뮤패드,뮤패드,brand_root,low,13867,398,161117,2,31800,docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (series=mupad 행 8건(신뢰도 무관 — series 식별 자체는 확정)),series 접두사 — model 대조 없이도 series 판정은 유지
a17,A17,model_code,"medium(알파벳1+숫자, 예: s8)",3430,180,130321,0,0,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=fuzzy, 1행, 예: grp-a001-01-000000060617379)",series:code 파싱 결과 중 code 부분
a24,A24,model_code,"medium(알파벳1+숫자, 예: s8)",1509,110,126634,11,162900,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 2행, 예: grp-a001-01-000000060610047,grp-a001-02-000000044300024)",series:code 파싱 결과 중 code 부분
14프로맥스,14프로맥스,model_code,low,1890,113,124373,5,82500,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693731,grp-a001-02-000000061794157)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
a23,A23,model_code,"medium(알파벳1+숫자, 예: s8)",1114,97,121098,8,121200,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 2행, 예: grp-a001-01-000000060610042,grp-a001-02-000000044300027)",series:code 파싱 결과 중 code 부분
13프로맥스,13프로맥스,model_code,low,1611,102,109812,1,15900,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061693760,grp-a001-02-000000061794137)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
a35,A35,model_code,"medium(알파벳1+숫자, 예: s8)",1877,105,100827,10,159000,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 2행, 예: grp-a001-01-000000060613254,grp-a001-02-000000044300022)",series:code 파싱 결과 중 code 부분
s22플러스,S22플러스,model_code,low,1572,115,96306,4,63600,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061793288,grp-a001-02-000000061793476)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
